title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluationTopicEducation and trainingType of actReportFeedback period15 September 2023 - 08 December 2023,Education and training,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/feedback_en?p_id=16141,195.0,40,10.0,52.0,9.0,1.0,36.0,31.0,1.0,1.0,13.0,1.0,66.0,0.0
Payment services – review of EU rulesTopicBanking and financial servicesType of actReportFeedback period10 May 2022 - 02 August 2022,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13331-Payment-services-review-of-EU-rules/feedback_en?p_id=15917,195.0,152,18.0,0.0,9.0,12.0,0.0,3.0,0.0,0.0,0.0,1.0,67.0,0.0
Environmental performance of products & businesses – substantiating claimsTopicEnvironmentType of actProposal for a directiveFeedback period27 August 2020 - 03 December 2020,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12511-Environmental-performance-of-products-businesses-substantiating-claims/feedback_en?p_id=13326,193.0,19,2.0,9.0,45.0,76.0,17.0,10.0,2.0,2.0,8.0,3.0,68.0,0.0
Sustainable products initiativeTopicEnvironmentType of actProposal for a regulationFeedback period17 March 2021 - 09 June 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12567-Sustainable-products-initiative/feedback_en?p_id=13512,193.0,7,2.0,4.0,52.0,90.0,18.0,4.0,3.0,1.0,10.0,2.0,69.0,0.0
EU energy efficiency directive (EED) – evaluation and reviewTopicEnergyType of actProposal for a directiveFeedback period17 November 2020 - 09 February 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12552-EU-energy-efficiency-directive-EED-evaluation-and-review/feedback_en?p_id=13400,189.0,13,1.0,6.0,49.0,74.0,23.0,5.0,2.0,4.0,10.0,2.0,70.0,0.0
"Soil health – protecting, sustainably managing and restoring EU soilsTopicEnvironmentType of actProposal for a directiveFeedback period01 August 2022 - 24 October 2022",Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13350-Soil-health-protecting-sustainably-managing-and-restoring-EU-soils/feedback_en?p_id=15636,189.0,42,2.0,11.0,33.0,37.0,35.0,15.0,1.0,5.0,8.0,0.0,71.0,0.0
Energy efficiency in buildings – consultation on ‘renovation wave’ initiativeTopicEnergyType of actCommunicationFeedback period11 June 2020 - 09 July 2020,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12376-Energy-efficiency-in-buildings-consultation-on-renovation-wave-initiative/feedback_en?p_id=13055,187.0,6,0.0,4.0,40.0,73.0,22.0,14.0,4.0,4.0,19.0,1.0,72.0,0.0
Microplastics pollution – measures to reduce its impact on the environmentTopicEnvironmentType of actProposal for a regulationFeedback period22 February 2022 - 17 May 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12823-Microplastics-pollution-measures-to-reduce-its-impact-on-the-environment/feedback_en?p_id=15312,186.0,41,6.0,14.0,29.0,35.0,33.0,10.0,1.0,7.0,9.0,1.0,73.0,0.0
"Revision of EU legislation on hazard classification, labelling and packaging of chemicalsTopicEnvironmentType of actProposal for a regulationFeedback period09 August 2021 - 15 November 2021",Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12975-Revision-of-EU-legislation-on-hazard-classification-labelling-and-packaging-of-chemicals/feedback_en?p_id=14533,182.0,21,0.0,8.0,30.0,77.0,21.0,6.0,3.0,2.0,13.0,1.0,74.0,0.0
"EU Green Deal – Revision of the Energy Taxation DirectiveTopicClimate action, Energy, TaxationType of actProposal for a directiveFeedback period22 July 2020 - 14 October 2020","Climate action, Energy, Taxation",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12227-EU-Green-Deal-Revision-of-the-Energy-Taxation-Directive/feedback_en?p_id=12843,180.0,2,0.0,1.0,54.0,94.0,15.0,7.0,1.0,2.0,4.0,0.0,75.0,0.0
Digital product passport – rules for service providersTopicSingle marketType of actDelegated decisionFeedback period08 April 2025 - 01 July 2025,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14382-Digital-product-passport-rules-for-service-providers/feedback_en?p_id=18839,178.0,10,3.0,10.0,86.0,46.0,9.0,7.0,2.0,1.0,3.0,1.0,76.0,0.0
Global health – new EU strategyTopicPublic healthType of actCommunicationFeedback period27 June 2022 - 19 September 2022,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13506-Global-health-new-EU-strategy/feedback_en?p_id=16040,176.0,124,3.0,2.0,2.0,4.0,31.0,9.0,0.0,1.0,0.0,0.0,77.0,0.0
Revision of the EU general pharmaceuticals legislationTopicPublic healthType of actProposal for a regulationFeedback period28 September 2021 - 21 December 2021,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12963-Revision-of-the-EU-general-pharmaceuticals-legislation/feedback_en?p_id=14390,173.0,9,1.0,5.0,45.0,39.0,44.0,16.0,2.0,1.0,10.0,1.0,78.0,0.0
Adapting to climate change – EU strategyTopicClimate actionType of actCommunicationFeedback period14 May 2020 - 20 August 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12381-Adapting-to-climate-change-EU-strategy/feedback_en?p_id=13066,172.0,108,0.0,7.0,15.0,15.0,13.0,3.0,5.0,3.0,2.0,0.0,79.0,0.0
Animal welfare – evaluation of EU rules (fitness check)TopicFood safetyType of actStaff working documentFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12400-Animal-welfare-evaluation-of-EU-rules-fitness-check-/feedback_en?p_id=13100,172.0,56,2.0,1.0,15.0,14.0,64.0,13.0,3.0,1.0,3.0,0.0,80.0,0.0
Intellectual property – new framework for standard-essential patentsTopicSingle marketType of actProposal for a regulationFeedback period14 February 2022 - 09 May 2022,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13109-Intellectual-property-new-framework-for-standard-essential-patents/feedback_en?p_id=15629,157.0,38,4.0,9.0,19.0,11.0,6.0,7.0,1.0,0.0,1.0,0.0,81.0,0.0
Agricultural products – revision of EU marketing standardsTopicAgriculture and rural developmentType of actProposal for a directiveFeedback period08 June 2021 - 31 August 2021,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12772-Agricultural-products-revision-of-EU-marketing-standards/feedback_en?p_id=14082,156.0,14,0.0,1.0,36.0,56.0,17.0,11.0,4.0,0.0,16.0,0.0,82.0,0.0
Cosmetic Products Regulation – evaluationTopicSingle marketType of actEvaluationFeedback period05 May 2025 - 28 July 2025,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14433-Cosmetic-Products-Regulation-evaluation/feedback_en?p_id=19201,155.0,30,5.0,3.0,40.0,36.0,12.0,9.0,2.0,1.0,13.0,4.0,83.0,0.0
Industrial emissions – EU rules updatedTopicEnvironmentType of actProposal for a directiveFeedback period22 December 2020 - 23 March 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12306-Industrial-emissions-EU-rules-updated/feedback_en?p_id=12938,155.0,2,0.0,1.0,28.0,78.0,29.0,3.0,1.0,5.0,7.0,0.0,84.0,0.0
"Access to vehicle data, functions and resourcesTopicSingle marketType of actProposal for a regulationFeedback period29 March 2022 - 02 August 2022",Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13180-Access-to-vehicle-data-functions-and-resources/feedback_en?p_id=15781,154.0,86,0.0,1.0,26.0,17.0,8.0,7.0,2.0,0.0,4.0,3.0,85.0,0.0
European Health Emergency Preparedness and Response Authority (HERA)TopicPublic healthType of actImplementing decisionFeedback period31 March 2021 - 12 May 2021,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12870-European-Health-Emergency-Preparedness-and-Response-Authority-HERA-/feedback_en?p_id=14129,154.0,55,1.0,14.0,19.0,14.0,26.0,9.0,0.0,0.0,15.0,0.0,86.0,0.0
Digital health data and services – the European health data spaceTopicPublic healthType of actProposal for a regulationFeedback period03 May 2021 - 26 July 2021,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12663-Digital-health-data-and-services-the-European-health-data-space/feedback_en?p_id=14010,151.0,11,0.0,19.0,19.0,22.0,38.0,33.0,0.0,0.0,7.0,2.0,87.0,0.0
EU farm and food products – review of policy on promotion inside and outside the EUTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period31 March 2021 - 23 June 2021,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12782-EU-farm-and-food-products-review-of-policy-on-promotion-inside-and-outside-the-EU/feedback_en?p_id=14174,151.0,45,0.0,0.0,12.0,42.0,32.0,7.0,2.0,0.0,7.0,2.0,88.0,0.0
Connecting Europe Facility 2014-2020 – evaluationTopicTransportType of actReportFeedback period05 March 2025 - 28 May 2025,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14245-Connecting-Europe-Facility-2014-2020-evaluation/feedback_en?p_id=18618,147.0,4,1.0,2.0,28.0,5.0,3.0,6.0,0.0,0.0,98.0,0.0,89.0,0.0
"Measures to further improve the effectiveness of the fight against illegal content onlineTopicMigration and asylum, Digital economy and society, Home affairsType of actProvisional dataFeedback period30 April 2018 - 25 June 2018","Migration and asylum, Digital economy and society, Home affairs",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1613-Measures-to-further-improve-the-effectiveness-of-the-fight-against-illegal-content-online/feedback_en?p_id=10774,146.0,1,1.0,0.0,15.0,111.0,13.0,2.0,0.0,0.0,2.0,0.0,90.0,0.0
Gas networks - revision of EU rules on market accessTopicEnergyType of actProposal for a regulationFeedback period26 March 2021 - 18 June 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12766-Gas-networks-revision-of-EU-rules-on-market-access/feedback_en?p_id=14181,140.0,1,0.0,3.0,59.0,54.0,9.0,8.0,1.0,0.0,4.0,1.0,91.0,0.0
Gas networks – revision of EU rules on market accessTopicEnergyType of actProposal for a directiveFeedback period26 March 2021 - 18 June 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12911-Gas-networks-revision-of-EU-rules-on-market-access/feedback_en?p_id=14181,140.0,1,0.0,3.0,59.0,54.0,9.0,8.0,1.0,0.0,4.0,1.0,92.0,0.0
Heat pumps – action plan to accelerate roll-out across the EUTopicEnergyType of actCommunicationFeedback period07 June 2023 - 30 August 2023,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13771-Heat-pumps-action-plan-to-accelerate-roll-out-across-the-EU/feedback_en?p_id=16957,137.0,33,1.0,3.0,30.0,41.0,17.0,7.0,1.0,2.0,2.0,0.0,93.0,0.0
Late payments – update of EU rulesTopicSingle marketType of actProposal for a regulationFeedback period20 January 2023 - 17 March 2023,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13665-Late-payments-update-of-EU-rules/feedback_en?p_id=16617,137.0,24,1.0,0.0,28.0,42.0,5.0,8.0,3.0,0.0,26.0,0.0,94.0,0.0
Artificial intelligence – ethical and legal requirementsTopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 14 June 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12527-Artificial-intelligence-ethical-and-legal-requirements/feedback_en?p_id=13340,133.0,7,0.0,7.0,31.0,54.0,16.0,5.0,4.0,0.0,3.0,4.0,95.0,0.0
Electricity market – reform of the EU’s electricity market designTopicEnergyType of actProposal for a regulationFeedback period23 January 2023 - 13 February 2023,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13668-Electricity-market-reform-of-the-EUs-electricity-market-design/feedback_en?p_id=16832,133.0,18,0.0,0.0,41.0,51.0,12.0,5.0,0.0,0.0,3.0,3.0,96.0,0.0
Protecting biodiversity: nature restoration targets under EU biodiversity strategyTopicEnvironmentType of actProposal for a regulationFeedback period11 January 2021 - 05 April 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12596-Protecting-biodiversity-nature-restoration-targets-under-EU-biodiversity-strategy/feedback_en?p_id=13742,132.0,25,3.0,5.0,13.0,20.0,44.0,4.0,2.0,13.0,3.0,0.0,97.0,0.0
Reducing carbon emissions – review of emission standards for heavy-duty vehiclesTopicClimate actionType of actProposal for a regulationFeedback period20 December 2021 - 14 March 2022,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13168-Reducing-carbon-emissions-review-of-emission-standards-for-heavy-duty-vehicles/feedback_en?p_id=15454,127.0,10,1.0,0.0,23.0,8.0,8.0,3.0,0.0,0.0,5.0,0.0,98.0,0.0
Organic farming - action plan for the development of EU organic productionTopicAgriculture and rural developmentType of actCommunicationFeedback period04 September 2020 - 27 November 2020,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12555-Organic-farming-action-plan-for-the-development-of-EU-organic-production/feedback_en?p_id=13489,124.0,41,1.0,2.0,23.0,28.0,16.0,8.0,2.0,0.0,3.0,0.0,99.0,0.0
State aid - revision of the rules on services of general economic interestTopicCompetitionType of actDecisionFeedback period05 June 2025 - 31 July 2025,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14708-State-aid-revision-of-the-rules-on-services-of-general-economic-interest/feedback_en?p_id=19786,122.0,13,1.0,1.0,9.0,35.0,27.0,17.0,3.0,0.0,15.0,1.0,100.0,0.0
EU forests – new EU Framework for Forest Monitoring and Strategic PlansTopicEnvironmentType of actProposal for a regulationFeedback period25 August 2022 - 17 November 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13396-EU-forests-new-EU-Framework-for-Forest-Monitoring-and-Strategic-Plans/feedback_en?p_id=15824,117.0,35,0.0,10.0,10.0,13.0,20.0,7.0,1.0,6.0,15.0,0.0,101.0,0.0
Machinery Directive - revisionTopicSingle marketType of actProposal for a regulationFeedback period07 June 2019 - 30 August 2019,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2019-Machinery-Directive-revision/feedback_en?p_id=11498,115.0,16,0.0,1.0,48.0,24.0,7.0,5.0,2.0,0.0,8.0,3.0,102.0,0.0
Review: Restriction of the use of hazardous substances in electronicsTopicEnvironmentType of actReportFeedback period10 March 2022 - 16 June 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13137-Review-Restriction-of-the-use-of-hazardous-substances-in-electronics/feedback_en?p_id=15628,115.0,3,4.0,0.0,28.0,58.0,3.0,3.0,0.0,1.0,15.0,0.0,103.0,0.0
Offshore renewable energy strategyTopicEnergyType of actCommunicationFeedback period16 July 2020 - 24 September 2020,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12517-Offshore-renewable-energy-strategy/feedback_en?p_id=13316,114.0,37,1.0,9.0,29.0,12.0,14.0,5.0,0.0,5.0,2.0,0.0,104.0,0.0
Sustainable corporate governanceTopicJustice and fundamental rightsType of actProposal for a directiveFeedback period26 October 2020 - 08 February 2021,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12548-Sustainable-corporate-governance/feedback_en?p_id=13393,114.0,6,1.0,10.0,15.0,22.0,35.0,13.0,5.0,1.0,4.0,1.0,105.0,0.0
Medicines for children & rare diseases – updated rulesTopicPublic healthType of actProposal for a regulationFeedback period07 May 2021 - 30 July 2021,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12767-Medicines-for-children-rare-diseases-updated-rules/feedback_en?p_id=13850,112.0,7,0.0,5.0,30.0,24.0,29.0,9.0,0.0,0.0,8.0,0.0,106.0,0.0
"Towards zero pollution in air, water and soil – EU action planTopicEnvironmentType of actCommunicationFeedback period11 November 2020 - 10 February 2021",Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12588-Towards-zero-pollution-in-air-water-and-soil-EU-action-plan/feedback_en?p_id=13561,111.0,8,0.0,8.0,16.0,38.0,19.0,7.0,0.0,2.0,11.0,1.0,107.0,0.0
Digital Services Act – deepening the internal market and clarifying responsibilities for digital servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12417-Digital-Services-Act-deepening-the-internal-market-and-clarifying-responsibilities-for-digital-services/feedback_en?p_id=13125,110.0,7,0.0,7.0,29.0,40.0,16.0,3.0,3.0,0.0,4.0,1.0,108.0,0.0
Reducing packaging waste – review of rulesTopicEnvironmentType of actProposal for a regulationFeedback period30 September 2020 - 06 January 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12263-Reducing-packaging-waste-review-of-rules/feedback_en?p_id=13178,110.0,3,0.0,0.0,25.0,55.0,12.0,3.0,1.0,4.0,4.0,2.0,109.0,0.0
Cyber resilience act – new cybersecurity rules for digital products and ancillary servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period16 March 2022 - 25 May 2022,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13410-Cyber-resilience-act-new-cybersecurity-rules-for-digital-products-and-ancillary-services/feedback_en?p_id=15724,108.0,32,2.0,3.0,25.0,28.0,4.0,6.0,0.0,0.0,7.0,1.0,110.0,0.0
State aid for environmental protection and energy – revised guidelinesTopicCompetitionType of actCommunicationFeedback period12 November 2020 - 07 January 2021,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12616-State-aid-for-environmental-protection-and-energy-revised-guidelines/feedback_en?p_id=13778,108.0,4,0.0,1.0,37.0,49.0,7.0,0.0,0.0,1.0,6.0,2.0,111.0,0.0
Textile labelling rules (revision)TopicSingle marketType of actProposal for a regulationFeedback period19 December 2023 - 15 April 2024,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13872-Textile-labelling-rules-revision-/feedback_en?p_id=17324,108.0,7,0.0,1.0,28.0,33.0,26.0,5.0,0.0,2.0,6.0,0.0,112.0,0.0
Data sharing in the EU – common European data spaces (new rules)TopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 03 June 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12491-Data-sharing-in-the-EU-common-European-data-spaces-new-rules-/feedback_en?p_id=13256,107.0,2,0.0,7.0,37.0,31.0,11.0,10.0,2.0,0.0,4.0,3.0,113.0,0.0
Polluter Pays Principle – fitness check of its application to the environmentTopicEnvironmentFeedback period12 May 2023 - 04 August 2023,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13546-Polluter-Pays-Principle-fitness-check-of-its-application-to-the-environment/feedback_en?p_id=16429,106.0,42,1.0,1.0,8.0,25.0,21.0,2.0,0.0,4.0,2.0,0.0,114.0,0.0
Waste from electrical and electronic equipment – evaluating the EU rulesTopicEnvironmentType of actStaff working documentFeedback period16 June 2023 - 22 September 2023,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules/feedback_en?p_id=16329,106.0,7,0.0,1.0,37.0,29.0,9.0,9.0,0.0,7.0,7.0,0.0,115.0,0.0
Protecting the marine environment – review of EU rulesTopicEnvironmentType of actStaff working documentFeedback period22 July 2021 - 21 October 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12898-Protecting-the-marine-environment-review-of-EU-rules/feedback_en?p_id=14428,104.0,67,0.0,5.0,5.0,3.0,18.0,2.0,1.0,3.0,0.0,0.0,116.0,0.0
Digital Europe programme – interim evaluationTopicDigital economy and societyType of actEvaluationFeedback period27 June 2024 - 20 September 2024,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13880-Digital-Europe-programme-interim-evaluation/feedback_en?p_id=18417,103.0,28,1.0,12.0,12.0,14.0,15.0,10.0,1.0,0.0,7.0,3.0,117.0,0.0
Sustainable transport – new urban mobility frameworkTopicTransportType of actCommunicationFeedback period01 July 2021 - 23 September 2021,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12916-Sustainable-transport-new-urban-mobility-framework/feedback_en?p_id=14492,103.0,15,1.0,5.0,24.0,17.0,17.0,7.0,3.0,1.0,8.0,5.0,118.0,0.0
National emissions reduction targets (Effort Sharing Regulation) – review based on 2030 climate target planTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12656-National-emissions-reduction-targets-Effort-Sharing-Regulation-review-based-on-2030-climate-target-plan/feedback_en?p_id=13722,101.0,4,1.0,2.0,21.0,40.0,22.0,1.0,0.0,8.0,2.0,0.0,119.0,0.0
Deforestation and forest degradation – reducing the impact of products placed on the EU marketTopicEnvironmentType of actProposal for a regulationFeedback period03 September 2020 - 10 December 2020,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12137-Deforestation-and-forest-degradation-reducing-the-impact-of-products-placed-on-the-EU-market/feedback_en?p_id=12444,99.0,21,1.0,6.0,12.0,17.0,32.0,3.0,1.0,1.0,5.0,0.0,120.0,0.0
EU chemicals strategy for sustainability – Cosmetic Products Regulation (revision)TopicSingle marketType of actProposal for a regulationFeedback period29 March 2022 - 21 June 2022,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13197-EU-chemicals-strategy-for-sustainability-Cosmetic-Products-Regulation-revision-/feedback_en?p_id=15131,98.0,6,0.0,0.0,34.0,28.0,18.0,3.0,1.0,0.0,6.0,2.0,121.0,0.0
Innovation Fund – evaluation of its operationTopicClimate actionType of actEvaluationFeedback period15 April 2025 - 08 July 2025,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14228-Innovation-Fund-evaluation-of-its-operation/feedback_en?p_id=19518,97.0,5,0.0,1.0,39.0,28.0,11.0,3.0,3.0,1.0,4.0,2.0,122.0,0.0
"Land use, land use change & forestry – review of EU rulesTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021",Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12657-Land-use-land-use-change-forestry-review-of-EU-rules/feedback_en?p_id=13723,93.0,8,0.0,7.0,16.0,20.0,25.0,6.0,0.0,9.0,2.0,0.0,123.0,0.0
Data Act & amended rules on the legal protection of databasesTopicDigital economy and societyType of actProposal for a regulationFeedback period03 June 2021 - 03 September 2021,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13045-Data-Act-amended-rules-on-the-legal-protection-of-databases/feedback_en?p_id=14626,91.0,3,1.0,6.0,25.0,43.0,4.0,8.0,0.0,0.0,0.0,1.0,124.0,0.0
Energy security architecture – fitness checkTopicEnergyFeedback period03 September 2024 - 26 November 2024,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14392-Energy-security-architecture-fitness-check/feedback_en?p_id=18652,90.0,26,0.0,2.0,18.0,17.0,10.0,8.0,1.0,0.0,2.0,2.0,125.0,0.0
European standardisation – evaluationTopicSingle marketType of actStaff working documentFeedback period02 May 2024 - 25 July 2024,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13446-European-standardisation-evaluation/feedback_en?p_id=17385,90.0,10,0.0,2.0,10.0,34.0,12.0,11.0,1.0,1.0,7.0,2.0,126.0,0.0
Violence against women and domestic violence – fitness check of EU legislationTopicJustice and fundamental rightsFeedback period08 February 2021 - 10 May 2021,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12472-Violence-against-women-and-domestic-violence-fitness-check-of-EU-legislation/feedback_en?p_id=13263,90.0,75,1.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,127.0,0.0
Bus and coach drivers – EU rules on driving and rest timesTopicTransportType of actProposal for a regulationFeedback period23 November 2021 - 15 February 2022,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12488-Bus-and-coach-drivers-EU-rules-on-driving-and-rest-times/feedback_en?p_id=14106,87.0,40,1.0,0.0,9.0,11.0,0.0,4.0,21.0,0.0,1.0,0.0,128.0,0.0
Common fisheries policy – evaluationTopicMaritime affairs and fisheriesType of actEvaluationFeedback period27 January 2025 - 21 April 2025,Maritime affairs and fisheries,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14203-Common-fisheries-policy-evaluation/feedback_en?p_id=18380,87.0,8,0.0,2.0,2.0,24.0,24.0,10.0,1.0,2.0,13.0,1.0,129.0,0.0
Low-emission vehicles – improving the EU’s refuelling/recharging infrastructureTopicTransportType of actProposal for a regulationFeedback period06 April 2020 - 29 June 2020,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12251-Low-emission-vehicles-improving-the-EUs-refuelling-recharging-infrastructure/feedback_en?p_id=12982,86.0,10,0.0,1.0,24.0,35.0,7.0,2.0,0.0,1.0,3.0,3.0,130.0,0.0
Revision of the Union Customs CodeTopicCustomsType of actProposal for a directiveFeedback period20 July 2022 - 19 September 2022,Customs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13316-Revision-of-the-Union-Customs-Code/feedback_en?p_id=16121,86.0,2,0.0,2.0,33.0,39.0,7.0,1.0,0.0,0.0,1.0,1.0,131.0,0.0
Digital Services Act package – ex ante regulatory instrument of very large online platforms acting as gatekeepersTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12418-Digital-Services-Act-package-ex-ante-regulatory-instrument-of-very-large-online-platforms-acting-as-gatekeepers/feedback_en?p_id=13126,85.0,3,0.0,6.0,32.0,20.0,14.0,2.0,2.0,0.0,4.0,2.0,132.0,0.0
Food waste – reduction targetsTopicFood safetyType of actProposal for a directiveFeedback period24 May 2022 - 24 August 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13223-Food-waste-reduction-targets/feedback_en?p_id=15125,85.0,9,0.0,1.0,11.0,27.0,18.0,5.0,1.0,3.0,6.0,4.0,133.0,0.0
"Blood, tissues and cells for medical treatments & therapies – revised EU rulesTopicPublic healthType of actProposal for a regulationFeedback period21 January 2021 - 15 April 2021",Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12734-Blood-tissues-and-cells-for-medical-treatments-therapies-revised-EU-rules/feedback_en?p_id=13782,82.0,3,0.0,9.0,10.0,8.0,24.0,9.0,0.0,0.0,18.0,0.0,134.0,0.0
Blue bioeconomy – towards a strong and sustainable EU algae sectorTopicMaritime affairs and fisheriesType of actCommunicationFeedback period19 May 2021 - 11 August 2021,Maritime affairs and fisheries,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12780-Blue-bioeconomy-towards-a-strong-and-sustainable-EU-algae-sector/feedback_en?p_id=13999,82.0,9,1.0,14.0,32.0,10.0,6.0,2.0,2.0,0.0,3.0,0.0,135.0,0.0
Fitness Check of the Water Framework Directive and the Floods DirectiveTopicEnvironmentFeedback period17 September 2018 - 12 March 2019,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1155-Fitness-Check-of-the-Water-Framework-Directive-and-the-Floods-Directive/feedback_en?p_id=10511,82.0,13,0.0,0.0,12.0,22.0,14.0,7.0,9.0,0.0,5.0,0.0,136.0,0.0
