title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer,EU citizen (%),Non-EU citizen (%),Academic/research Institution (%),Company/business (%),Business association (%),Non-governmental organisation (NGO) (%),Other (%),Trade union (%),Environmental organisation (%),Public authority (%),Consumer organisation (%),Prefer not to answer (%)
"Construction products – review of EU rulesTopicBusiness and industry, Single marketType of actProposal for a regulationFeedback period04 September 2020 - 25 December 2020","Business and industry, Single market",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12458-Construction-products-review-of-EU-rules/feedback_en?p_id=13198,76.0,1,0.0,1.0,14.0,39.0,4.0,10.0,2.0,1.0,4.0,0.0,145.0,0.0,1.3157894736842104,0.0,1.3157894736842104,18.421052631578945,51.31578947368421,5.263157894736842,13.157894736842104,2.631578947368421,1.3157894736842104,5.263157894736842,0.0,0.0
2030 Climate Target PlanTopicClimate actionType of actCommunicationFeedback period31 March 2020 - 23 June 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12265-2030-Climate-Target-Plan/feedback_en?p_id=12894,1093.0,723,49.0,19.0,71.0,101.0,72.0,15.0,0.0,29.0,12.0,2.0,15.0,0.0,66.14821591948765,4.483074107959744,1.738334858188472,6.495882891125343,9.240622140896615,6.587374199451052,1.3723696248856359,0.0,2.6532479414455628,1.0978956999085088,0.18298261665141813,0.0
Adapting to climate change – EU strategyTopicClimate actionType of actCommunicationFeedback period14 May 2020 - 20 August 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12381-Adapting-to-climate-change-EU-strategy/feedback_en?p_id=13066,172.0,108,0.0,7.0,15.0,15.0,13.0,3.0,5.0,3.0,2.0,0.0,79.0,0.0,62.7906976744186,0.0,4.069767441860465,8.720930232558139,8.720930232558139,7.55813953488372,1.744186046511628,2.9069767441860463,1.744186046511628,1.1627906976744187,0.0,0.0
Fluorinated greenhouse gases – review of EU rules (2015-20)TopicClimate actionType of actProposal for a regulationFeedback period15 September 2020 - 29 December 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12479-Fluorinated-greenhouse-gases-review-of-EU-rules-2015-20-/feedback_en?p_id=13237,76.0,6,0.0,0.0,34.0,16.0,11.0,1.0,0.0,3.0,4.0,0.0,146.0,0.0,7.894736842105263,0.0,0.0,44.73684210526316,21.052631578947366,14.473684210526317,1.3157894736842104,0.0,3.9473684210526314,5.263157894736842,0.0,0.0
"Land use, land use change & forestry – review of EU rulesTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021",Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12657-Land-use-land-use-change-forestry-review-of-EU-rules/feedback_en?p_id=13723,93.0,8,0.0,7.0,16.0,20.0,25.0,6.0,0.0,9.0,2.0,0.0,123.0,0.0,8.60215053763441,0.0,7.526881720430108,17.20430107526882,21.50537634408602,26.881720430107524,6.451612903225806,0.0,9.67741935483871,2.1505376344086025,0.0,0.0
Innovation Fund – evaluation of its operationTopicClimate actionType of actEvaluationFeedback period15 April 2025 - 08 July 2025,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14228-Innovation-Fund-evaluation-of-its-operation/feedback_en?p_id=19518,97.0,5,0.0,1.0,39.0,28.0,11.0,3.0,3.0,1.0,4.0,2.0,122.0,0.0,5.154639175257731,0.0,1.0309278350515463,40.20618556701031,28.865979381443296,11.34020618556701,3.0927835051546393,3.0927835051546393,1.0309278350515463,4.123711340206185,2.0618556701030926,0.0
National emissions reduction targets (Effort Sharing Regulation) – review based on 2030 climate target planTopicClimate actionType of actProposal for a regulationFeedback period13 November 2020 - 05 February 2021,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12656-National-emissions-reduction-targets-Effort-Sharing-Regulation-review-based-on-2030-climate-target-plan/feedback_en?p_id=13722,101.0,4,1.0,2.0,21.0,40.0,22.0,1.0,0.0,8.0,2.0,0.0,119.0,0.0,3.9603960396039604,0.9900990099009901,1.9801980198019802,20.792079207920793,39.603960396039604,21.782178217821784,0.9900990099009901,0.0,7.920792079207921,1.9801980198019802,0.0,0.0
Certification of carbon removals – EU rulesTopicClimate actionType of actProposal for a regulationFeedback period07 February 2022 - 02 May 2022,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13172-Certification-of-carbon-removals-EU-rules/feedback_en?p_id=15602,231.0,41,1.0,11.0,66.0,46.0,42.0,14.0,2.0,5.0,2.0,0.0,53.0,0.0,17.74891774891775,0.4329004329004329,4.761904761904762,28.57142857142857,19.913419913419915,18.181818181818183,6.0606060606060606,0.8658008658008658,2.1645021645021645,0.8658008658008658,0.0,0.0
EU climate target for 2040TopicClimate actionType of actCommunicationFeedback period31 March 2023 - 23 June 2023,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13793-EU-climate-target-for-2040/feedback_en?p_id=16866,579.0,369,4.0,14.0,43.0,55.0,43.0,32.0,2.0,9.0,7.0,1.0,25.0,0.0,63.730569948186535,0.690846286701209,2.4179620034542317,7.4265975820379975,9.499136442141623,7.4265975820379975,5.526770293609672,0.3454231433506045,1.5544041450777202,1.2089810017271159,0.17271157167530224,0.0
Reducing carbon emissions – review of emission standards for heavy-duty vehiclesTopicClimate actionType of actProposal for a regulationFeedback period20 December 2021 - 14 March 2022,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13168-Reducing-carbon-emissions-review-of-emission-standards-for-heavy-duty-vehicles/feedback_en?p_id=15454,127.0,10,1.0,0.0,23.0,8.0,8.0,3.0,0.0,0.0,5.0,0.0,98.0,0.0,7.874015748031496,0.7874015748031495,0.0,18.11023622047244,6.299212598425196,6.299212598425196,2.3622047244094486,0.0,0.0,3.937007874015748,0.0,0.0
